contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration
SPXW260130C05840000,2025-12-19 17:18:16+00:00,5840.0,1023.14,1093.6,1095.2,0.0,0.0,5.0,5.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05850000,2026-01-30 14:46:06+00:00,5850.0,1092.18,1087.6,1089.1,40.869995,3.88753,1.0,1.0,1.0253954980468751,True,REGULAR,USD,call,2026-01-30
SPXW260130C05860000,2025-09-19 15:08:24+00:00,5860.0,920.8,956.4,984.4,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05870000,2026-01-29 17:16:08+00:00,5870.0,1061.52,1068.5,1070.2,0.0,0.0,1.0,0.0,1.15234798828125,True,REGULAR,USD,call,2026-01-30
SPXW260130C05875000,2025-10-13 17:04:29+00:00,5875.0,917.5,942.5,970.5,0.0,0.0,6.0,6.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05880000,2026-01-20 19:02:29+00:00,5880.0,942.32,1058.0,1059.5,0.0,0.0,1.0,1.0,1.1865275048828123,True,REGULAR,USD,call,2026-01-30
SPXW260130C05890000,2026-01-29 17:16:08+00:00,5890.0,1042.07,1048.0,1049.5,0.0,0.0,1.0,0.0,1.175297092285156,True,REGULAR,USD,call,2026-01-30
SPXW260130C05900000,2026-01-30 16:47:08+00:00,5900.0,1040.33,1038.4,1039.9,-47.890015,-4.400766,30.0,1030.0,1.0234423828125,True,REGULAR,USD,call,2026-01-30
SPXW260130C05910000,2025-10-22 15:03:35+00:00,5910.0,925.43,923.3,932.2,0.0,0.0,2.0,3.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05925000,2025-08-11 15:11:40+00:00,5925.0,677.26,779.6,790.1,0.0,0.0,2.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05950000,2025-12-11 14:47:25+00:00,5950.0,955.0,984.1,985.4,0.0,0.0,2.0,4.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05970000,2025-12-23 16:51:35+00:00,5970.0,957.82,963.8,965.2,0.0,0.0,,5.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05975000,2026-01-30 16:52:47+00:00,5975.0,956.98,961.1,962.6,5.0,0.5252211,15.0,18.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C05980000,2026-01-29 17:43:33+00:00,5980.0,946.93,957.6,959.1,0.0,0.0,4.0,4.0,0.9023447265625,True,REGULAR,USD,call,2026-01-30
SPXW260130C05990000,2025-12-24 17:10:47+00:00,5990.0,970.0,943.4,945.2,0.0,0.0,,3.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C06000000,2026-01-30 19:41:18+00:00,6000.0,937.94,935.7,939.0,-29.059998,-3.0051703,17.0,6726.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C06025000,2025-08-15 19:11:13+00:00,6025.0,647.64,715.4,743.2,0.0,0.0,2.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C06030000,2026-01-30 17:54:59+00:00,6030.0,891.6,908.0,909.5,-39.660034,-4.25875,2.0,7.0,1.0222216857910156,True,REGULAR,USD,call,2026-01-30
SPXW260130C06040000,2025-12-24 16:05:49+00:00,6040.0,911.1,894.1,895.4,0.0,0.0,2.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C06050000,2026-01-30 19:57:29+00:00,6050.0,887.19,888.0,889.8,-47.380005,-5.0697117,3.0,618.0,1.0571336206054687,True,REGULAR,USD,call,2026-01-30
SPXW260130C06060000,2025-12-24 16:05:49+00:00,6060.0,891.35,873.3,880.9,0.0,0.0,2.0,2.0,1.1694377465820311,True,REGULAR,USD,call,2026-01-30
SPXW260130C06075000,2026-01-30 20:04:41+00:00,6075.0,855.6,861.1,862.6,19.72998,2.3604126,1.0,10.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C06080000,2025-08-05 18:30:37+00:00,6080.0,497.89,586.6,612.5,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C06090000,2026-01-28 15:15:04+00:00,6090.0,898.13,847.6,849.1,0.0,0.0,1.0,4.0,0.8007832421875,True,REGULAR,USD,call,2026-01-30
SPXW260130C06100000,2026-01-30 20:29:28+00:00,6100.0,822.1,838.7,840.2,15.339966,1.9014286,9.0,39.0,0.9350592431640624,True,REGULAR,USD,call,2026-01-30
SPXW260130C06115000,2026-01-29 14:57:39+00:00,6115.0,837.57,816.6,824.0,0.0,0.0,7.0,5.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C06125000,2026-01-06 16:12:04+00:00,6125.0,808.05,813.3,815.0,0.0,0.0,1.0,14.0,0.8037129003906249,True,REGULAR,USD,call,2026-01-30
SPXW260130C06140000,2026-01-29 16:40:13+00:00,6140.0,767.74,797.9,799.8,0.0,0.0,54.0,55.0,0.95507857421875,True,REGULAR,USD,call,2026-01-30
SPXW260130C06150000,2026-01-30 14:50:03+00:00,6150.0,799.85,787.9,789.8,47.96997,6.3800035,3.0,16.0,0.9436040795898437,True,REGULAR,USD,call,2026-01-30
SPXW260130C06155000,2025-11-03 14:50:58+00:00,6155.0,808.02,784.8,793.5,0.0,0.0,,2.0,1.2297401794433593,True,REGULAR,USD,call,2026-01-30
SPXW260130C06160000,2026-01-29 16:40:13+00:00,6160.0,747.49,771.6,779.0,0.0,0.0,54.0,56.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C06170000,2025-11-25 17:41:35+00:00,6170.0,678.16,770.1,778.6,0.0,0.0,1.0,2.0,1.2169228607177733,True,REGULAR,USD,call,2026-01-30
SPXW260130C06175000,2026-01-21 17:42:25+00:00,6175.0,654.77,756.6,764.0,0.0,0.0,1.0,14.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C06185000,2026-01-21 15:21:54+00:00,6185.0,669.62,753.7,755.2,0.0,0.0,5.0,3.0,0.8442398388671875,True,REGULAR,USD,call,2026-01-30
SPXW260130C06190000,2026-01-30 14:50:03+00:00,6190.0,760.53,748.3,749.9,47.30005,6.6318088,3.0,109.0,0.7070341796875,True,REGULAR,USD,call,2026-01-30
SPXW260130C06195000,2026-01-21 15:21:54+00:00,6195.0,659.67,743.3,744.9,0.0,0.0,5.0,3.0,0.70312796875,True,REGULAR,USD,call,2026-01-30
SPXW260130C06200000,2026-01-30 18:40:26+00:00,6200.0,710.76,738.6,740.1,27.830017,4.075091,10.0,44.0,0.804689453125,True,REGULAR,USD,call,2026-01-30
SPXW260130C06205000,2025-11-13 15:01:26+00:00,6205.0,708.64,736.7,743.3,0.0,0.0,,1.0,1.1922647808837892,True,REGULAR,USD,call,2026-01-30
SPXW260130C06210000,2025-12-12 21:07:51+00:00,6210.0,675.32,723.9,725.3,0.0,0.0,1.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C06220000,2026-01-30 18:40:26+00:00,6220.0,690.83,710.8,719.6,2.630005,0.38215706,11.0,14.0,0.834718449707031,True,REGULAR,USD,call,2026-01-30
SPXW260130C06225000,2026-01-28 14:49:06+00:00,6225.0,771.52,706.6,715.9,0.0,0.0,5.0,11.0,0.9649661706542969,True,REGULAR,USD,call,2026-01-30
SPXW260130C06230000,2026-01-28 20:34:33+00:00,6230.0,748.78,707.8,709.7,0.0,0.0,4.0,3.0,0.8393570751953124,True,REGULAR,USD,call,2026-01-30
SPXW260130C06235000,2026-01-30 17:06:49+00:00,6235.0,680.0,696.6,705.9,-9.349976,-1.3563467,2.0,1.0,0.9526371923828124,True,REGULAR,USD,call,2026-01-30
SPXW260130C06240000,2026-01-28 20:34:33+00:00,6240.0,738.61,690.8,699.6,0.0,0.0,4.0,11.0,0.8129901513671874,True,REGULAR,USD,call,2026-01-30
SPXW260130C06245000,2026-01-30 16:59:12+00:00,6245.0,683.68,693.6,695.1,-23.380005,-3.3066509,12.0,12.0,0.7578149218750001,True,REGULAR,USD,call,2026-01-30
SPXW260130C06250000,2026-01-30 17:04:35+00:00,6250.0,669.32,681.6,690.9,-12.429993,-1.8232479,2.0,17.0,0.9340826904296875,True,REGULAR,USD,call,2026-01-30
SPXW260130C06255000,2026-01-30 15:01:07+00:00,6255.0,683.69,675.8,684.6,5.6900024,0.8392334,1.0,1.0,0.7963887548828125,True,REGULAR,USD,call,2026-01-30
SPXW260130C06260000,2025-11-10 20:15:09+00:00,6260.0,690.27,681.5,690.0,0.0,0.0,20.0,12.0,1.1390423907470704,True,REGULAR,USD,call,2026-01-30
SPXW260130C06265000,2026-01-30 17:05:27+00:00,6265.0,652.48,666.1,674.1,-16.070007,-2.4037106,1.0,1.0,0.63867548828125,True,REGULAR,USD,call,2026-01-30
SPXW260130C06270000,2025-09-16 14:05:38+00:00,6270.0,547.21,568.3,579.4,0.0,0.0,2.0,3.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-01-30
SPXW260130C06275000,2026-01-30 19:52:26+00:00,6275.0,656.58,663.6,665.1,-31.45996,-4.572403,1.0,22.0,0.726565234375,True,REGULAR,USD,call,2026-01-30
SPXW260130C06280000,2026-01-30 15:33:22+00:00,6280.0,658.68,657.5,659.4,-21.600037,-3.1751685,2.0,6.0,0.7329128271484374,True,REGULAR,USD,call,2026-01-30
SPXW260130C06285000,2025-11-07 16:59:43+00:00,6285.0,516.98,655.1,663.7,0.0,0.0,2.0,1.0,1.0574387948608397,True,REGULAR,USD,call,2026-01-30
SPXW260130C06290000,2026-01-29 20:50:06+00:00,6290.0,670.13,648.6,650.1,0.0,0.0,3.0,3.0,0.710940390625,True,REGULAR,USD,call,2026-01-30
SPXW260130C06300000,2026-01-30 15:33:22+00:00,6300.0,638.63,638.6,640.1,-5.9400024,-0.92154497,2.0,74.0,0.7006865869140625,True,REGULAR,USD,call,2026-01-30
SPXW260130C06305000,2026-01-30 17:03:40+00:00,6305.0,619.8,633.6,635.1,-31.200012,-4.792629,2.0,2.0,0.6958038232421876,True,REGULAR,USD,call,2026-01-30
SPXW260130C06310000,2026-01-14 18:34:59+00:00,6310.0,599.13,628.6,630.1,0.0,0.0,1.0,106.0,0.6904327832031252,True,REGULAR,USD,call,2026-01-30
SPXW260130C06315000,2026-01-30 19:06:26+00:00,6315.0,632.93,623.6,625.1,-8.679993,-1.3528457,6.0,6.0,0.6850617431640625,True,REGULAR,USD,call,2026-01-30
SPXW260130C06320000,2026-01-30 19:26:42+00:00,6320.0,627.84,611.1,619.2,-36.73999,-5.528302,6.0,12.0,0.637698935546875,True,REGULAR,USD,call,2026-01-30
SPXW260130C06325000,2026-01-30 19:52:26+00:00,6325.0,606.89,612.8,614.7,-31.269958,-4.9000187,7.0,27.0,0.7338893798828124,True,REGULAR,USD,call,2026-01-30
SPXW260130C06330000,2026-01-30 17:04:28+00:00,6330.0,590.62,601.6,610.9,-33.97998,-5.440279,2.0,2.0,0.8353287951660155,True,REGULAR,USD,call,2026-01-30
SPXW260130C06335000,2026-01-30 18:45:07+00:00,6335.0,577.52,603.6,605.1,-82.859985,-12.547318,5.0,14.0,0.6645541357421877,True,REGULAR,USD,call,2026-01-30
SPXW260130C06340000,2026-01-27 17:38:16+00:00,6340.0,644.53,598.6,600.1,0.0,0.0,6.0,5.0,0.659183095703125,True,REGULAR,USD,call,2026-01-30
SPXW260130C06345000,2026-01-20 18:03:00+00:00,6345.0,505.51,586.6,595.9,0.0,0.0,3.0,5.0,0.8167742932128905,True,REGULAR,USD,call,2026-01-30
