
expiry: 2026-02-06  forward: 6940.52  df: 0.9987
 strike  c_price  c_iv  p_price  p_iv c_iv_minus_p_iv
 6865.0  129.400 16.21    50.25 16.19            0.02
 6870.0  125.700 16.10    51.60 16.09            0.00
 6875.0  122.000 15.98    52.85 15.97            0.01
 6880.0  118.400 15.88    54.20 15.86            0.02
 6885.0  114.800 15.77    55.60 15.75            0.02
 6890.0  111.200 15.65    57.00 15.64            0.01
 6895.0  107.700 15.54    58.40 15.51            0.03
 6900.0  104.200 15.43    60.00 15.42            0.01
 6905.0  100.700 15.31    61.50 15.30            0.01
 6910.0   97.300 15.20    63.10 15.19            0.00
 6915.0   94.000 15.10    64.70 15.07            0.02
 6920.0   90.650 14.98    66.40 14.97            0.01
 6925.0   87.400 14.87    68.10 14.85            0.02
 6930.0   84.150 14.75    69.90 14.75            0.01
 6935.0   81.000 14.64    71.70 14.63            0.01
 6940.0   77.800 14.51    73.60 14.52           -0.01
 6945.0   74.750 14.41    75.50 14.41           -0.00
 6950.0   71.700 14.29    77.40 14.28            0.01
 6955.0   68.750 14.18    79.45 14.18            0.00
 6960.0   65.800 14.06    81.50 14.06            0.00
 6965.0   63.000 13.96    83.65 13.95            0.01
 6970.0   60.150 13.83    85.80 13.83            0.01
 6975.0   57.400 13.72    88.10 13.73           -0.01
 6980.0   54.700 13.60    90.40 13.61           -0.01
 6985.0   52.100 13.49    92.70 13.49            0.01
 6990.0   49.500 13.37    95.05 13.36            0.02
 6995.0   47.000 13.26    97.55 13.25            0.01
 7000.0   44.600 13.15   100.20 13.15            0.00
 7005.0   42.150 13.03   102.80 13.04           -0.01
 7010.0   39.900 12.92   105.45 12.92            0.01
 7015.0   37.700 12.82   108.30 12.82           -0.00
 7020.0   35.550 12.71   111.00 12.68            0.02
 7025.0   33.400 12.59   113.90 12.57            0.01
 7030.0   31.450 12.49   116.95 12.48            0.01
 7035.0   29.400 12.36   120.55 12.50           -0.14
 7040.0   27.550 12.26   123.55 12.37           -0.11
 7045.0   25.750 12.15   126.80 12.27           -0.13
 7050.0   24.050 12.05   129.85 12.12           -0.07
 7055.0   22.350 11.93   133.40 12.07           -0.14
 7060.0   20.750 11.82   137.00 12.02           -0.19
 7065.0   19.250 11.72   140.40 11.90           -0.18
 7070.0   17.850 11.63   143.85 11.77           -0.15
 7075.0   16.550 11.54   147.30 11.63           -0.09
 7080.0   15.250 11.44      NaN   NaN             NaN
 7085.0   14.050 11.35      NaN   NaN             NaN
 7090.0   12.900 11.25      NaN   NaN             NaN
 7095.0   11.850 11.17      NaN   NaN             NaN
 7100.0   10.850 11.08      NaN   NaN             NaN
 7105.0    9.900 10.99      NaN   NaN             NaN
 7110.0    9.100 10.93      NaN   NaN             NaN
 7115.0    8.250 10.84      NaN   NaN             NaN
 7120.0    7.450 10.74      NaN   NaN             NaN
 7125.0    6.800 10.69      NaN   NaN             NaN
 7130.0    6.100 10.59      NaN   NaN             NaN
 7140.0    5.000 10.47      NaN   NaN             NaN
 7150.0    4.050 10.34      NaN   NaN             NaN
 7160.0    3.250 10.22      NaN   NaN             NaN
 7170.0    2.575 10.09      NaN   NaN             NaN
 7175.0    2.375 10.11      NaN   NaN             NaN
 7180.0    2.050 10.00      NaN   NaN             NaN
 7190.0    1.650  9.95      NaN   NaN             NaN
 7200.0    1.350  9.93      NaN   NaN             NaN
 7210.0    1.050  9.85      NaN   NaN             NaN
 7220.0    0.875  9.88      NaN   NaN             NaN
 7225.0    0.800  9.89      NaN   NaN             NaN
 7230.0    0.725  9.90      NaN   NaN             NaN
 7240.0    0.575  9.87      NaN   NaN             NaN
 7250.0    0.475  9.90      NaN   NaN             NaN
 7260.0    0.400  9.96      NaN   NaN             NaN
 7270.0    0.325  9.97      NaN   NaN             NaN
